"probeset"	"beta.sk"	"beta.ab"	"se.sk"	"se.ab"	"Aexprs.sk"	"Aexprs.ab"
"100008567_at"	0.026367183333333	-0.650115183333335	0.117958239120111	0.340083898440588	6.41780599166667	7.821151345
"100009600_at"	-0.0400661899999974	-0.00470753333333374	0.024959830931024	0.0187987851763516	5.101413305	5.85977564333333
"100009609_at"	0.005154083333335	-0.000250399999999651	0.019673598842678	0.0171204107029534	4.87860785833333	5.67460436666667
"100009614_at"	0.0159505233333341	0.0246394266666679	0.0232687458385469	0.0183330680015692	4.961751305	5.86040164333333
"100009664_at"	-0.0311957466666648	-0.00227864666666555	0.0240153367228359	0.0173086722566763	5.15231662333333	5.88297526
"100012_at"	-0.00501844666666784	-0.00310496333333177	0.0308129814842254	0.0220681676355523	5.00185818	5.75838842166667
"100017_at"	-0.0150824666666658	-0.0631009600000016	0.0420983464620533	0.121102661605616	6.30897352666667	9.75095152333333
"100019_at"	-0.0902506466666662	-0.0530348599999995	0.0373763437259396	0.0630658386700374	6.06595866	7.1244992
"100033459_at"	-0.145643449999999	-0.504006413333334	0.0296533956152889	0.0669554875178962	5.03538682833333	6.05571414333333
"100034251_at"	0.725504556666666	0.11633616666667	0.0560104331400096	0.0937309910942484	6.49825032833333	11.0557642166667
"100034729_at"	-0.0207519533333329	-0.0024288866666673	0.0496238217363912	0.0581556073130431	4.97619629	6.07933944333333
"100034739_at"	0.0446234833333348	0.0222105366666669	0.0207577193983603	0.0247337460679748	5.13035753166667	5.864871295
"100034748_at"	-0.0343424466666669	-0.0555889433333316	0.0236806712580813	0.034049875954085	5.18253581	5.94934395166667
"100036518_at"	0.00203450666666694	-0.0256159799999987	0.0210692846080507	0.0165321800911496	4.95275879	5.73351112
"100036520_at"	-0.00558810666666787	0.027318713333333	0.0288505982189043	0.0226002046390296	5.0831977	5.90203075
"100036521_at"	0.0395507833333335	0.0576171866666666	0.0460409525216948	0.0377712044813343	5.35034179833333	6.31331380333333
"100036523_at"	-0.0473361566666659	-0.106169876666668	0.0356311752975592	0.0695338125444479	5.66526964166667	6.36330629166667
"100036537_at"	0.00903320333333468	0.0298978400000012	0.0407680437978609	0.0177382816955017	5.318400065	5.84963441666667
"100036768_at"	-0.0165201800000006	-0.083733976666668	0.0451985758231089	0.0251037622998089	5.29081217333333	6.17630709166667
"100037258_at"	-0.0794813399999992	-0.0126201666666681	0.0324468806524182	0.0802324135804639	8.59377713	10.4919871833333
"100037260_at"	-0.0033908433333325	-0.00979066333333289	0.0234846842586089	0.0190184933157758	5.116604275	5.869153145
"100037262_at"	0.0324435766666689	-0.0624248833333327	0.126075794836122	0.0502269797431843	6.195366755	6.688764525
"100037278_at"	0.0823838966666672	-0.0366836933333339	0.0622074989696648	0.030915139935179	5.58022732166667	6.33246945
"100037282_at"	-0.187255859999999	0.0680338533333353	0.0455345934259214	0.14943788393937	6.35762533	7.20817057333333
"100037396_at"	0.00496419333333353	0.0108423433333336	0.0283620567460438	0.0286652728547746	5.20161946666667	6.04666216166667
"100038347_at"	0.0405273433333333	-0.165339539999998	0.0680286098910831	0.0408674777643706	5.70890299833333	6.63149789666667
"100038349_at"	-0.00764973666666613	-0.0437950733333334	0.0310812231042918	0.0179268752304275	5.01977539166667	5.81356420666667
"100038353_at"	-0.0383843266666668	0.0380608933333333	0.0313585097257698	0.0329911633020734	5.31248643666667	6.02589142666667
"100038356_at"	-0.0540093333333331	0.0251903099999993	0.0307154714122711	0.0227396096961794	5.42544216666667	6.27223557833333
"100038357_at"	-0.0235731366666654	-0.0130959533333321	0.0316279365271508	0.0174451259334246	5.03717719166667	5.81546725
"100038358_at"	0.000542540000000535	-0.0235376599999997	0.0252649606273868	0.0182904989250724	5.04855686	5.79757612
"100038359_at"	-0.0344780799999986	-0.0310747200000003	0.0253174578594123	0.0539258801357478	5.01463487333333	5.82120142333333
"100038361_at"	-0.0304361933333306	-0.0130208366666675	0.028386894171067	0.0232573088467675	5.08129883	5.82486979166667
"100038363_at"	0.110921223333334	-0.0824819666666627	0.0723613581396412	0.0958440261140623	5.54187011833333	10.2339493166667
"100038371_at"	-0.056206593333334	0.0483523633333345	0.0434717141081416	0.0176912629553136	4.99978298666667	5.86156600833333
"100038374_at"	-0.0259602866666686	0.00307992666666568	0.0450012707708111	0.0319094792356677	5.51590983	5.97665014
"100038376_at"	-0.0174424933333333	-0.0146484366666657	0.0282521156532543	0.0192120273807181	5.06471083	5.801269535
"100038378_at"	-0.00453016666666706	0.0138471566666665	0.0244922460748722	0.0214032850794323	5.09796820666667	5.86547225833333
"100038380_at"	0.00146483999999791	-0.0379106566666652	0.0212328560955622	0.0303822681388286	5.20043945333333	5.97370793166667
"100038381_at"	-0.0295952700000024	0.0261167866666669	0.0339405917365781	0.0366468369975123	5.15021430166667	5.87593900333333
"100038382_at"	0.0153266066666671	0.021709733333334	0.0253995408237132	0.0245318242198346	5.20425076	5.84070763333333
"100038383_at"	-0.016655816666665	-0.00713641999999837	0.0221392412852441	0.0190152894457908	5.053575305	5.78416717
"100038384_at"	-0.0216742599999984	0.00460737000000133	0.0290868418990232	0.0164201970896671	4.96200900666667	5.75681089833333
"100038388_at"	-0.000271269999998935	-0.0182041266666673	0.0353836079657589	0.0287765780579314	5.105604385	5.92934946
"100038391_at"	-0.0232204866666663	0.00806289666666782	0.021802499341395	0.0175992698244271	5.00672743	5.81563000833333
"100038392_at"	-0.0144314300000001	0.0251151833333347	0.0282598353074355	0.0519074477685949	5.35845269166667	6.228002305
"100038394_at"	-0.025200736666668	-0.0170522833333342	0.0367191821812172	0.0229781871529189	5.05524359833333	5.837953225
"100038395_at"	0.00225152000000151	-0.0028044866666681	0.0311516653083325	0.0235090182293628	5.09815809666667	5.95517828666667
"100038398_at"	-0.0334472666666672	0.00691105666666747	0.0252362796260688	0.0222481784771485	4.9802653	5.833784055
"100038399_at"	0.00111219333333334	0.0133213099999985	0.0258145785096459	0.0213287925466967	5.03460015333333	5.80779246833333
"100038410_at"	0.00710720333333281	-0.0323517633333337	0.028148808973092	0.0182200574513277	5.05536566833333	5.85894931833333
"100038411_at"	-0.0133192233333324	-0.00100159999999949	0.0279142201730477	0.0297028006748958	5.10268826166667	5.86736278
"100038412_at"	-0.00211587999999807	-0.0014773666666672	0.0214051554538613	0.0219523713131588	5.18660482	5.92977514
"100038413_at"	0.0486653633333338	-0.0215344533333326	0.0364014338916734	0.0262403801874639	5.19409179833333	5.86428285333333
"100038414_at"	0.0348849833333338	-0.00458232666666536	0.0266007822531243	0.0207237335347602	5.14987521833333	5.952812
"100038416_at"	-0.0617947100000009	-0.0389623400000003	0.0380690490763861	0.0462650616907968	5.613905165	6.21316606666667
"100038417_at"	-0.0170627166666657	0.00593449333333584	0.0207128419198852	0.0173706092089645	4.84479437833333	5.68420723
"100038419_at"	0.0162217866666676	0.00753705999999976	0.0398775516874751	0.0174614595153975	5.04429796	5.79147886666667
"100038420_at"	0.00661892333333203	-0.0281700733333343	0.027166336406739	0.0175224686435315	5.08197699833333	5.84123347333333
"100038421_at"	0.00303819333333433	-0.00781250333333361	0.0194039796574133	0.0166560008118806	4.91351996666667	5.700195315
"100038424_at"	0.0516493066666639	0.0115434699999994	0.0251230502345784	0.0230640116530145	5.21799045333333	5.779384515
"100038425_at"	-0.000488280000000785	-0.225385619999999	0.0436201515959798	0.0823955904625248	5.70890299666667	7.90501051666667
"100038429_at"	-0.0477973066666655	-0.00888922000000125	0.0262231947910503	0.0270688407745133	5.14076063666667	5.88204878
"100038431_at"	0.0100368866666667	-0.0107421866666657	0.0247413455877038	0.0222784481978155	5.00735134666667	5.76253255333333
"100038433_at"	0.0464138466666677	0.0318759999999996	0.0208735980764682	0.0395602341198376	5.16266547333333	6.23536408333333
"100038436_at"	0.0874023433333351	0.0454477200000012	0.0285179312243149	0.0506466485367071	5.153564455	6.03814854
"100038439_at"	-0.00371635999999942	-0.0147235566666657	0.0193557655681122	0.0182772520061544	4.97093370333333	5.75768730166667
"100038440_at"	-0.00656467000000038	-0.0155999599999994	0.0240802551303463	0.0224856584181053	5.21942816833333	5.89028696
"100038452_at"	-0.00311957333333268	-0.0450470766666653	0.0359214842218399	0.071112232217058	5.36126031	6.17649489166667
"100038453_at"	0.0258246533333342	-0.019230770000001	0.0284244305235026	0.0183920780498314	5.04958767333333	5.899914865
"100038454_at"	0.0151909733333335	0.00841346333333615	0.0259822066590668	0.0165428740159951	4.93348524333333	5.74839743833333
"100038460_at"	0.00368923333333271	-0.0273437466666682	0.0356613399546163	0.0196399557624271	5.21039496666667	6.02734375
"100038464_at"	0.0807020400000003	-0.126702723333332	0.0690905612408339	0.0462214989996651	5.80470106333333	6.52298678166667
"100038467_at"	0.0298665366666677	0.00125200333333453	0.030896679895087	0.0382051208090158	5.39717610833333	6.15432191833333
"100038468_at"	-0.0118815099999994	-0.020482770000001	0.0229264316160159	0.0225868616184655	5.037516275	5.78986378166667
"100038470_at"	0.147325303333333	0.248722960000002	0.0461010867662803	0.201989242407943	5.44293891166667	7.92251352333333
"100038478_at"	0.00876193666666492	-0.0298978333333322	0.0224444605132187	0.0191189726381568	5.090996635	5.83526141666667
"100038479_at"	-0.00132920666666703	-0.0166516433333355	0.0258443238544359	0.0209903548377414	5.03224012666667	5.84361228166667
"100038481_at"	0.0173339866666682	0.0202073366666671	0.0449134389864162	0.0191299228803907	5.15637207333333	5.80532602166667
"100038486_at"	-0.0254720066666669	-0.00145232333333212	0.0265841396749143	0.0205052204154125	5.04854329333333	5.824944915
"100038487_at"	0.0230577266666678	-0.0199569299999993	0.0209433226906198	0.0385588668639792	5.13072374333333	5.98881961166667
"100038489_at"	-0.00699870000000047	0.00455728666666655	0.0208839953807142	0.0224201461542764	4.93318685	5.75748698
"100038493_at"	0.0203721799999999	0.0194310900000003	0.0248506896620855	0.0285939062755386	5.18903266333333	5.92225060166667
"100038494_at"	-0.0252007366666653	0.0354817700000014	0.0214540192640561	0.0254142235186971	5.09821234833333	5.87874349166667
"100038496_at"	-0.0400661900000001	0.0227614200000001	0.0276237598826804	0.0283418819057907	5.129733615	5.98796825
"100038498_at"	-0.00018988666666786	-0.0245643033333334	0.0281172276289553	0.0238917407909763	5.22079807	5.91332381833333
"100038504_at"	0.00170898333333369	-0.0018780033333341	0.0324320110232843	0.0274271692695754	5.28820800833333	5.962853065
"100038506_at"	0.0198839000000008	0.0188301299999996	0.0320977132527773	0.0212124401063861	5.10919867666667	5.84995993833333
"100038508_at"	-0.00832791000000022	0.0325520833333348	0.0259945450404812	0.0389252712280193	5.07512749833333	6.04524739833333
"100038509_at"	0.0295681433333339	-0.0571163866666655	0.0507112858695877	0.0369052610318972	5.095893015	6.05980819666667
"100038513_at"	-0.00873480666666548	0.0186798900000005	0.0226677329622376	0.0241338378174151	4.90508355333333	5.75368088833333
"100038514_at"	-0.024549689999998	-0.0126702733333328	0.0234646025087697	0.0238953499733506	5.05101182833333	5.80223357333333
"100038516_at"	-0.0172526066666663	-0.0143729999999991	0.0343188880655201	0.0321639752002164	5.17333984666667	5.89748598
"100038522_at"	-0.0327148399999988	0.00418169333333562	0.0237287080684917	0.136914143684725	5.22664388	7.06106019666667
"100038525_at"	-0.0266927100000007	0.00868890333333461	0.0264944352490702	0.0380689004061266	4.95312500166667	5.852751905
